ID,Functions,Tree_index,Display_order
1,button-config,0,0
2,apply_change_general,1,1
3,add_new_role_btn,1,2
4,delete_new_role_btn,1,3
5,apply_change_user_fnc,1,4
6,add_new_user_btn,1,50
7,delete_user_btn,1,51
8,activate_user_btn,1,52
9,deactivate_user_btn,1,53
10,new_pw_btn,1,54
11,download_syslog_btn,1,80
12,database_backup_btn,1,90
13,database_restore_btn,1,91
14,button-seqEditor,0,100
15,create_seq,1,101
16,open_seq,1,102
17,save_seq,1,103
18,button-run,0,200
19,new_a_batch,1,201
20,load_a_batch,1,202
21,open_sampleSetupList,1,203
22,open_test_seq,1,204
23,sampleBatchConfigAddBtn,1,205
24,sampleBatchConfigClearAllBtn,1,206
25,sampleSetupConfirmBtn,1,207
26,start_test,1,208
27,stop_test,1,209
28,moveLastBtn,1,210
29,moveHomeBtn,1,211
30,moveNextBtn,1,212
31,button-report,0,300
32,query-data,1,301
33,export-test-data-to-file,1,304
34,export-start,1,305
35,design-report,1,302
36,view-report,1,303
