ID,User_Role,Functions,Enabled,Visibled
1,Guest,button-config,1,1
2,Guest,apply_change_general,0,1
3,Guest,add_new_role_btn,0,1
4,Guest,delete_new_role_btn,0,1
5,Guest,apply_change_user_fnc,0,1
6,Guest,add_new_user_btn,0,1
7,Guest,delete_user_btn,0,1
8,Guest,activate_user_btn,0,1
9,Guest,deactivate_user_btn,0,1
10,Guest,new_pw_btn,0,1
11,Guest,download_syslog_btn,0,1
12,Guest,database_backup_btn,0,1
13,Guest,database_restore_btn,0,1
14,Guest,button-seqEditor,1,1
15,Guest,create_seq,0,1
16,Guest,open_seq,0,1
17,Guest,save_seq,0,1
18,Guest,button-run,1,1
19,Guest,new_a_batch,0,1
20,Guest,load_a_batch,0,1
21,Guest,open_sampleSetupList,0,1
22,Guest,open_test_seq,0,1
23,Guest,sampleBatchConfigAddBtn,0,1
24,Guest,sampleBatchConfigClearAllBtn,0,1
25,Guest,sampleSetupConfirmBtn,0,1
26,Guest,start_test,0,1
27,Guest,stop_test,0,1
28,Guest,moveLastBtn,0,1
29,Guest,moveHomeBtn,0,1
30,Guest,moveNextBtn,0,1
31,Guest,button-report,1,1
32,Guest,query-data,0,1
33,Guest,export-test-data-to-file,0,1
34,Guest,export-start,0,1
35,Guest,design-report,0,1
36,Guest,view-report,0,1
37,System_Admin,button-config,1,1
38,System_Admin,apply_change_general,1,1
39,System_Admin,add_new_role_btn,1,1
40,System_Admin,delete_new_role_btn,1,1
41,System_Admin,apply_change_user_fnc,1,1
42,System_Admin,add_new_user_btn,1,1
43,System_Admin,delete_user_btn,1,1
44,System_Admin,activate_user_btn,1,1
45,System_Admin,deactivate_user_btn,1,1
46,System_Admin,new_pw_btn,1,1
47,System_Admin,download_syslog_btn,1,1
48,System_Admin,database_backup_btn,1,1
49,System_Admin,database_restore_btn,1,1
50,System_Admin,button-seqEditor,1,1
51,System_Admin,create_seq,1,1
52,System_Admin,open_seq,1,1
53,System_Admin,save_seq,1,1
54,System_Admin,button-run,1,1
55,System_Admin,new_a_batch,1,1
56,System_Admin,load_a_batch,1,1
57,System_Admin,open_sampleSetupList,1,1
58,System_Admin,open_test_seq,1,1
59,System_Admin,sampleBatchConfigAddBtn,1,1
60,System_Admin,sampleBatchConfigClearAllBtn,1,1
61,System_Admin,sampleSetupConfirmBtn,1,1
62,System_Admin,start_test,1,1
63,System_Admin,stop_test,1,1
64,System_Admin,moveLastBtn,1,1
65,System_Admin,moveHomeBtn,1,1
66,System_Admin,moveNextBtn,1,1
67,System_Admin,button-report,1,1
68,System_Admin,query-data,1,1
69,System_Admin,export-test-data-to-file,1,1
70,System_Admin,export-start,1,1
71,System_Admin,design-report,1,1
72,System_Admin,view-report,1,1
73,Admin,button-config,1,1
74,Admin,apply_change_general,1,1
75,Admin,add_new_role_btn,1,1
76,Admin,delete_new_role_btn,1,1
77,Admin,apply_change_user_fnc,1,1
78,Admin,add_new_user_btn,1,1
79,Admin,delete_user_btn,1,1
80,Admin,activate_user_btn,1,1
81,Admin,deactivate_user_btn,1,1
82,Admin,new_pw_btn,1,1
83,Admin,download_syslog_btn,1,1
84,Admin,database_backup_btn,1,1
85,Admin,database_restore_btn,1,1
86,Admin,button-seqEditor,1,1
87,Admin,create_seq,1,1
88,Admin,open_seq,1,1
89,Admin,save_seq,1,1
90,Admin,button-run,1,1
91,Admin,new_a_batch,1,1
92,Admin,load_a_batch,1,1
93,Admin,open_sampleSetupList,1,1
94,Admin,open_test_seq,1,1
95,Admin,sampleBatchConfigAddBtn,1,1
96,Admin,sampleBatchConfigClearAllBtn,1,1
97,Admin,sampleSetupConfirmBtn,1,1
98,Admin,start_test,1,1
99,Admin,stop_test,1,1
100,Admin,moveLastBtn,1,1
101,Admin,moveHomeBtn,1,1
102,Admin,moveNextBtn,1,1
103,Admin,button-report,1,1
104,Admin,query-data,1,1
105,Admin,export-test-data-to-file,1,1
106,Admin,export-start,1,1
107,Admin,design-report,1,1
108,Admin,view-report,1,1
109,Engineer,button-config,1,1
110,Engineer,apply_change_general,1,1
111,Engineer,add_new_role_btn,0,1
112,Engineer,delete_new_role_btn,0,1
113,Engineer,apply_change_user_fnc,0,1
114,Engineer,add_new_user_btn,0,1
115,Engineer,delete_user_btn,0,1
116,Engineer,activate_user_btn,0,1
117,Engineer,deactivate_user_btn,0,1
118,Engineer,new_pw_btn,0,1
119,Engineer,download_syslog_btn,1,1
120,Engineer,database_backup_btn,0,1
121,Engineer,database_restore_btn,0,1
122,Engineer,button-seqEditor,1,1
123,Engineer,create_seq,1,1
124,Engineer,open_seq,1,1
125,Engineer,save_seq,1,1
126,Engineer,button-run,1,1
127,Engineer,new_a_batch,1,1
128,Engineer,load_a_batch,1,1
129,Engineer,open_sampleSetupList,1,1
130,Engineer,open_test_seq,1,1
131,Engineer,sampleBatchConfigAddBtn,1,1
132,Engineer,sampleBatchConfigClearAllBtn,1,1
133,Engineer,sampleSetupConfirmBtn,1,1
134,Engineer,start_test,1,1
135,Engineer,stop_test,1,1
136,Engineer,moveLastBtn,1,1
137,Engineer,moveHomeBtn,1,1
138,Engineer,moveNextBtn,1,1
139,Engineer,button-report,1,1
140,Engineer,query-data,1,1
141,Engineer,export-test-data-to-file,1,1
142,Engineer,export-start,1,1
143,Engineer,design-report,1,1
144,Engineer,view-report,1,1
145,Operator,button-config,1,1
146,Operator,apply_change_general,0,1
147,Operator,add_new_role_btn,0,1
148,Operator,delete_new_role_btn,0,1
149,Operator,apply_change_user_fnc,0,1
150,Operator,add_new_user_btn,0,1
151,Operator,delete_user_btn,0,1
152,Operator,activate_user_btn,0,1
153,Operator,deactivate_user_btn,0,1
154,Operator,new_pw_btn,0,1
155,Operator,download_syslog_btn,0,1
156,Operator,database_backup_btn,0,1
157,Operator,database_restore_btn,0,1
158,Operator,button-seqEditor,1,1
159,Operator,create_seq,0,1
160,Operator,open_seq,0,1
161,Operator,save_seq,0,1
162,Operator,button-run,1,1
163,Operator,new_a_batch,1,1
164,Operator,load_a_batch,1,1
165,Operator,open_sampleSetupList,1,1
166,Operator,open_test_seq,1,1
167,Operator,sampleBatchConfigAddBtn,1,1
168,Operator,sampleBatchConfigClearAllBtn,1,1
169,Operator,sampleSetupConfirmBtn,1,1
170,Operator,start_test,1,1
171,Operator,stop_test,1,1
172,Operator,moveLastBtn,0,1
173,Operator,moveHomeBtn,0,1
174,Operator,moveNextBtn,0,1
175,Operator,button-report,1,1
176,Operator,query-data,0,1
177,Operator,export-test-data-to-file,0,1
178,Operator,export-start,0,1
179,Operator,design-report,0,1
180,Operator,view-report,0,1
