ID;User_Role;Functions;Enabled;Visibled
1;Guest;button-config;1;1
2;Guest;apply_change_general;0;1
3;Guest;add_new_role_btn;0;1
4;Guest;delete_new_role_btn;0;1
5;Guest;apply_change_user_fnc;0;1
6;Guest;add_new_user_btn;0;1
7;Guest;delete_user_btn;0;1
8;Guest;activate_user_btn;0;1
9;Guest;deactivate_user_btn;0;1
10;Guest;new_pw_btn;0;1
11;Guest;download_syslog_btn;0;1
12;Guest;button-seqEditor;1;1
13;Guest;create_seq;0;1
14;Guest;open_seq;0;1
15;Guest;save_seq;0;1
16;Guest;button-run;1;1
17;Guest;new_a_batch;0;1
18;Guest;load_a_batch;0;1
19;Guest;open_test_seq;0;1
20;Guest;batchConfirm;0;1
21;Guest;start_test;0;1
22;Guest;stop_test;0;1
23;Guest;button-report;1;1
24;Guest;query-data;0;1
25;Guest;export-test-data-to-file;0;1
26;Guest;export-start;0;1
27;System_Admin;button-config;1;1
28;System_Admin;apply_change_general;1;1
29;System_Admin;add_new_role_btn;1;1
30;System_Admin;delete_new_role_btn;1;1
31;System_Admin;apply_change_user_fnc;1;1
32;System_Admin;add_new_user_btn;1;1
33;System_Admin;delete_user_btn;1;1
34;System_Admin;activate_user_btn;1;1
35;System_Admin;deactivate_user_btn;1;1
36;System_Admin;new_pw_btn;1;1
37;System_Admin;download_syslog_btn;1;1
38;System_Admin;button-seqEditor;1;1
39;System_Admin;create_seq;1;1
40;System_Admin;open_seq;1;1
41;System_Admin;save_seq;1;1
42;System_Admin;button-run;1;1
43;System_Admin;new_a_batch;1;1
44;System_Admin;load_a_batch;1;1
45;System_Admin;open_test_seq;1;1
46;System_Admin;batchConfirm;1;1
47;System_Admin;start_test;1;1
48;System_Admin;stop_test;1;1
49;System_Admin;button-report;1;1
50;System_Admin;query-data;1;1
51;System_Admin;export-test-data-to-file;1;1
52;System_Admin;export-start;1;1
