ID,User_Role,Functions,Enabled,Visibled
1,Guest,button-config,1,1
2,Guest,apply_change_general,0,1
3,Guest,add_new_role_btn,0,1
4,Guest,delete_new_role_btn,0,1
5,Guest,apply_change_user_fnc,0,1
6,Guest,add_new_user_btn,0,1
7,Guest,delete_user_btn,0,1
8,Guest,activate_user_btn,0,1
9,Guest,deactivate_user_btn,0,1
10,Guest,new_pw_btn,0,1
11,Guest,download_syslog_btn,0,1
12,Guest,button-seqEditor,1,1
13,Guest,create_seq,0,1
14,Guest,open_seq,0,1
15,Guest,save_seq,0,1
16,Guest,button-run,1,1
17,Guest,new_a_batch,0,1
18,Guest,load_a_batch,0,1
19,Guest,open_sampleSetupList,0,1
20,Guest,open_test_seq,0,1
21,Guest,sampleBatchConfigAddBtn,0,1
22,Guest,sampleBatchConfigClearAllBtn,0,1
23,Guest,sampleSetupConfirmBtn,0,1
24,Guest,start_test,0,1
25,Guest,stop_test,0,1
26,Guest,moveLastBtn,0,1
27,Guest,moveHomeBtn,0,1
28,Guest,moveNextBtn,0,1
29,Guest,button-report,1,1
30,Guest,query-data,0,1
31,Guest,export-test-data-to-file,0,1
32,Guest,export-start,0,1
33,Guest,design-report,0,1
34,Guest,view-report,0,1
35,System_Admin,button-config,1,1
36,System_Admin,apply_change_general,1,1
37,System_Admin,add_new_role_btn,1,1
38,System_Admin,delete_new_role_btn,1,1
39,System_Admin,apply_change_user_fnc,1,1
40,System_Admin,add_new_user_btn,1,1
41,System_Admin,delete_user_btn,1,1
42,System_Admin,activate_user_btn,1,1
43,System_Admin,deactivate_user_btn,1,1
44,System_Admin,new_pw_btn,1,1
45,System_Admin,download_syslog_btn,1,1
46,System_Admin,button-seqEditor,1,1
47,System_Admin,create_seq,1,1
48,System_Admin,open_seq,1,1
49,System_Admin,save_seq,1,1
50,System_Admin,button-run,1,1
51,System_Admin,new_a_batch,1,1
52,System_Admin,load_a_batch,1,1
53,System_Admin,open_sampleSetupList,1,1
54,System_Admin,open_test_seq,1,1
55,System_Admin,sampleBatchConfigAddBtn,1,1
56,System_Admin,sampleBatchConfigClearAllBtn,1,1
57,System_Admin,sampleSetupConfirmBtn,1,1
58,System_Admin,start_test,1,1
59,System_Admin,stop_test,1,1
60,System_Admin,moveLastBtn,1,1
61,System_Admin,moveHomeBtn,1,1
62,System_Admin,moveNextBtn,1,1
63,System_Admin,button-report,1,1
64,System_Admin,query-data,1,1
65,System_Admin,export-test-data-to-file,1,1
66,System_Admin,export-start,1,1
67,System_Admin,design-report,1,1
68,System_Admin,view-report,1,1
35,Admin,button-config,1,1
36,Admin,apply_change_general,1,1
37,Admin,add_new_role_btn,1,1
38,Admin,delete_new_role_btn,1,1
39,Admin,apply_change_user_fnc,1,1
40,Admin,add_new_user_btn,1,1
41,Admin,delete_user_btn,1,1
42,Admin,activate_user_btn,1,1
43,Admin,deactivate_user_btn,1,1
44,Admin,new_pw_btn,1,1
45,Admin,download_syslog_btn,1,1
46,Admin,button-seqEditor,1,1
47,Admin,create_seq,1,1
48,Admin,open_seq,1,1
49,Admin,save_seq,1,1
50,Admin,button-run,1,1
51,Admin,new_a_batch,1,1
52,Admin,load_a_batch,1,1
53,Admin,open_sampleSetupList,1,1
54,Admin,open_test_seq,1,1
55,Admin,sampleBatchConfigAddBtn,1,1
56,Admin,sampleBatchConfigClearAllBtn,1,1
57,Admin,sampleSetupConfirmBtn,1,1
58,Admin,start_test,1,1
59,Admin,stop_test,1,1
60,Admin,moveLastBtn,1,1
61,Admin,moveHomeBtn,1,1
62,Admin,moveNextBtn,1,1
63,Admin,button-report,1,1
64,Admin,query-data,1,1
65,Admin,export-test-data-to-file,1,1
66,Admin,export-start,1,1
67,Admin,design-report,1,1
68,Admin,view-report,1,1
35,Engineer,button-config,1,1
36,Engineer,apply_change_general,1,1
37,Engineer,add_new_role_btn,0,1
38,Engineer,delete_new_role_btn,0,1
39,Engineer,apply_change_user_fnc,0,1
40,Engineer,add_new_user_btn,0,1
41,Engineer,delete_user_btn,0,1
42,Engineer,activate_user_btn,0,1
43,Engineer,deactivate_user_btn,0,1
44,Engineer,new_pw_btn,0,1
45,Engineer,download_syslog_btn,1,1
46,Engineer,button-seqEditor,1,1
47,Engineer,create_seq,1,1
48,Engineer,open_seq,1,1
49,Engineer,save_seq,1,1
50,Engineer,button-run,1,1
51,Engineer,new_a_batch,1,1
52,Engineer,load_a_batch,1,1
53,Engineer,open_sampleSetupList,1,1
54,Engineer,open_test_seq,1,1
55,Engineer,sampleBatchConfigAddBtn,1,1
56,Engineer,sampleBatchConfigClearAllBtn,1,1
57,Engineer,sampleSetupConfirmBtn,1,1
58,Engineer,start_test,1,1
59,Engineer,stop_test,1,1
60,Engineer,moveLastBtn,1,1
61,Engineer,moveHomeBtn,1,1
62,Engineer,moveNextBtn,1,1
63,Engineer,button-report,1,1
64,Engineer,query-data,1,1
65,Engineer,export-test-data-to-file,1,1
66,Engineer,export-start,1,1
67,Engineer,design-report,1,1
68,Engineer,view-report,1,1
35,Operator,button-config,1,1
36,Operator,apply_change_general,0,1
37,Operator,add_new_role_btn,0,1
38,Operator,delete_new_role_btn,0,1
39,Operator,apply_change_user_fnc,0,1
40,Operator,add_new_user_btn,0,1
41,Operator,delete_user_btn,0,1
42,Operator,activate_user_btn,0,1
43,Operator,deactivate_user_btn,0,1
44,Operator,new_pw_btn,0,1
45,Operator,download_syslog_btn,0,1
46,Operator,button-seqEditor,1,1
47,Operator,create_seq,0,1
48,Operator,open_seq,0,1
49,Operator,save_seq,0,1
50,Operator,button-run,1,1
51,Operator,new_a_batch,1,1
52,Operator,load_a_batch,1,1
53,Operator,open_sampleSetupList,1,1
54,Operator,open_test_seq,1,1
55,Operator,sampleBatchConfigAddBtn,1,1
56,Operator,sampleBatchConfigClearAllBtn,1,1
57,Operator,sampleSetupConfirmBtn,1,1
58,Operator,start_test,1,1
59,Operator,stop_test,1,1
60,Operator,moveLastBtn,0,1
61,Operator,moveHomeBtn,0,1
62,Operator,moveNextBtn,0,1
63,Operator,button-report,1,1
64,Operator,query-data,0,1
65,Operator,export-test-data-to-file,0,1
66,Operator,export-start,0,1
67,Operator,design-report,0,1
68,Operator,view-report,0,1
